Role,Index,Pose Index,Structure,Protein,MW(Molecular Weight) Unit Dalton,#Atoms,SlogP,TPSA,Flexibility,#RB,LF Rank Score,LF dG,LF VSscore,LF LE,tPSA,Hacc,Hdon,logSw,Library,MW_FREE
chembridge-fragment-library-part1-exp-2024-06,23282,1,O=C1C(=C(N(C1)c2cccc(O)c2)N)c3ccccc3,6TBE_P,266.3,20,2.1,66.6,0.8,3,-7.83,-5.862,-6.848,-0.293,6.66E+01,2,2,-2.37E+00,ExpressPick,2.66E+02
chembridge-fragment-library-part2-cl-2024-06,3136,1,OCc1csc(N2CC3(C2)COc4ccccc4C3)n1,6TBE_P,288.4,20,2.5,45.6,2.7,3,-7.814,-6.732,-7.186,-0.337,4.56E+01,3,1,-2.25E+00,1216,CORE
chembridge-fragment-library-part2-cl-2024-06,8754,1,OCCN1CCc2c(nn(c2CC1)C)-c3ccccc3,6TBE_P,271.4,20,1.9,41.3,4.2,4,-7.812,-7.688,-7.757,-0.384,4.13E+01,3,1,-2.09E+00,1204,CORE
chembridge-fragment-library-part1-exp-2024-06,19686,1,Fc1ccc([C@@H]2CC(=O)Nc3cc4c(OCO4)cc32)cc1,6TBE_P,285.3,21,3.3,47.6,0.5,1,-7.801,-7.066,-8.25,-0.336,4.76E+01,3,1,-3.77E+00,ExpressPick,2.85E+02
chembridge-fragment-library-part1-exp-2024-06,17002,1,Brc1cncc(C(=O)NC(=S)Nc2cccc(OC)c2)c1,6TBE_P,366.2,21,3.1,63.2,1.5,5,-7.79,-7.19,-8.083,-0.342,6.32E+01,3,2,-4.17E+00,ExpressPick,3.66E+02
chembridge-fragment-library-part1-exp-2024-06,6872,1,O[C@@H](c1nc2ccccc2[nH]1)c3ccccc3,6TBE_P,224.3,17,3,48.9,3,3,-7.785,-5.351,-6.647,-0.315,4.89E+01,2,2,-2.43E+00,ExpressPick,2.24E+02
chembridge-fragment-library-part2-cl-2024-06,6585,1,O=C(NCc1cccn2c1ccn2)Cc3csc(n3)C,6TBE_P,286.4,20,2,59.3,4,4,-7.782,-6.988,-7.702,-0.349,5.93E+01,3,1,-1.89E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,21886,1,Fc1ccccc1CNc2nc3NC(=C(C(=O)n3n2)C)C,6TBE_P,287.3,21,2.7,71.8,2.3,3,-7.774,-6.312,-7.167,-0.301,7.51E+01,3,2,-2.02E+00,ExpressPick,2.87E+02
chembridge-fragment-library-part1-exp-2024-06,23400,1,Brc1cccc(c1)CSC2=NN=C(C(=O)N2)C,6TBE_P,312.2,17,2.6,53.8,3,3,-7.769,-7.934,-10.188,-0.467,5.86E+01,3,1,-2.84E+00,ExpressPick,3.12E+02
chembridge-fragment-library-part1-exp-2024-06,26590,1,O=C(NCc1ccco1)c2c(N)c3cccnc3s2,6TBE_P,273.3,19,1.8,81.1,2.3,3,-7.753,-6.392,-7.531,-0.336,8.12E+01,3,2,-2.33E+00,ExpressPick,2.73E+02
chembridge-fragment-library-part2-cl-2024-06,2644,1,O=S1(=O)c2ccccc2OC[C@@H]3C[C@H](NC(=O)C)CN31,6TBE_P,296.3,20,0.3,75.7,2.1,1,-7.751,-6.845,-7.359,-0.342,7.57E+01,4,1,-1.73E+00,1103,CORE
chembridge-fragment-library-part1-exp-2024-06,15752,1,Clc1ccc(CSC2=NN=C(C(=O)N2)C)cc1,6TBE_P,267.7,17,2.5,53.8,3,3,-7.736,-7.649,-9.87,-0.45,5.86E+01,3,1,-2.10E+00,ExpressPick,2.68E+02
chembridge-fragment-library-part2-cl-2024-06,1090,1,Oc1cccnc1C(=O)N2Cc3cnc(cc3C2)C,6TBE_P,255.3,19,1.6,66.3,1,3,-7.714,-5.997,-6.922,-0.316,6.63E+01,4,1,-2.41E-01,1104,CORE
chembridge-fragment-library-part1-exp-2024-06,17070,1,Brc1cncc(C(=O)NC(=S)Nc2ccccc2Cl)c1,6TBE_P,370.7,20,3.7,54,1,4,-7.711,-7.461,-8.196,-0.373,5.40E+01,2,2,-4.43E+00,ExpressPick,3.71E+02
chembridge-fragment-library-part2-cl-2024-06,4716,1,O[C@H]1COCC[C@@H]1n2ccnc2-c3cccc4cc[nH]c43,6TBE_P,283.3,21,2.7,63.1,2,3,-7.71,-6.97,-7.609,-0.332,6.31E+01,3,2,-1.88E+00,1105,CORE
chembridge-fragment-library-part1-exp-2024-06,17846,1,Fc1ccc(C(=O)NC2=CN=C3C(=CC=CN3C2=O)C)cc1,6TBE_P,297.3,22,2.1,61.8,0.5,2,-7.705,-5.824,-7.338,-0.265,6.35E+01,3,1,-2.84E+00,ExpressPick,2.97E+02
chembridge-fragment-library-part1-exp-2024-06,7710,1,Fc1ccc(N[C@@H]2C(=O)N(C(=O)C2)c3ccccc3)cc1,6TBE_P,284.3,21,2.8,49.4,1.6,3,-7.702,-4.834,-6.576,-0.23,4.94E+01,2,1,-3.78E+00,ExpressPick,2.84E+02
chembridge-fragment-library-part2-cl-2024-06,852,1,O=C(NCc1cccc2c1cc[nH]2)c3csc(n3)NC,6TBE_P,286.4,20,2.6,69.8,2.5,4,-7.699,-6.829,-7.692,-0.341,6.98E+01,2,3,-2.33E+00,1101,CORE
chembridge-fragment-library-part2-cl-2024-06,7165,1,OC(=O)c1csc(n1)[C@@H](N)Cc2ccccc2,6TBE_P,248.3,17,2.1,76.2,4.5,6,-7.697,-6.24,-7.093,-0.367,7.62E+01,4,2,-2.93E+00,1100,CORE
chembridge-fragment-library-part2-cl-2024-06,6861,1,Oc1cc2c(OCO2)cc1-c3c4cccnc4ccn3,6TBE_P,266.3,20,2.7,64.5,0.9,2,-7.692,-5.676,-6.496,-0.284,6.45E+01,5,1,-1.84E+00,1109,CORE
chembridge-fragment-library-part2-cl-2024-06,2384,1,O=C(NCc1nnc(s1)N)c2ccc3c(c2)cc[nH]3,6TBE_P,273.3,19,1.5,96.7,2.3,3,-7.687,-7.126,-7.774,-0.375,9.67E+01,3,3,-1.66E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,15124,1,Fc1cccc(NC(=O)CN2C(=O)c3ccccc3C2=O)c1,6TBE_P,298.3,22,2.3,66.5,2.3,3,-7.686,-6.562,-7.901,-0.298,6.65E+01,3,1,-3.66E+00,ExpressPick,2.98E+02
chembridge-fragment-library-part1-exp-2024-06,22050,1,Brc1ccc(Cl)c(C(=O)Nc2c(ccs2)C(=O)N)c1,6TBE_P,359.6,19,3.6,72.2,0.8,3,-7.685,-8.316,-8.762,-0.438,7.22E+01,2,2,-3.86E+00,ExpressPick,3.60E+02
chembridge-fragment-library-part1-exp-2024-06,12318,1,Fc1ccc(NC(=O)CN2C(=O)c3ccccc3C2=O)cc1,6TBE_P,298.3,22,2.3,66.5,2.3,3,-7.673,-6.52,-7.885,-0.296,6.65E+01,3,1,-3.66E+00,ExpressPick,2.98E+02
chembridge-fragment-library-part1-exp-2024-06,9034,1,Oc1cccc(CN2CCc3c([nH]c4ccccc43)C2)c1,6TBE_P,278.4,21,3.4,39.3,3,3,-7.668,-6.613,-7.397,-0.315,3.93E+01,2,2,-2.17E+00,ExpressPick,2.78E+02
chembridge-fragment-library-part2-cl-2024-06,3994,1,O=C(N[C@@H]1C[C@H]1c2ccccc2)c3cccc(O)n3,6TBE_P,254.3,19,2.1,62.2,1.8,4,-7.659,-7.049,-7.681,-0.371,6.22E+01,3,2,-1.63E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,14492,1,OCCCN[C@H]1CCCc2c3cc(ccc3[nH]c21)C,6TBE_P,258.4,19,3.2,48,5.5,5,-7.63,-7.303,-7.915,-0.384,5.26E+01,1,3,-1.61E+00,ExpressPick,2.58E+02
chembridge-fragment-library-part1-exp-2024-06,12452,1,O=C1C=C(NC(SCc2nc3ccccc3[nH]2)=N1)C,6TBE_P,272.3,19,2.1,70.1,3,3,-7.617,-7.527,-8.04,-0.396,7.44E+01,3,2,-2.28E+00,ExpressPick,2.72E+02
chembridge-fragment-library-part1-exp-2024-06,14420,1,Clc1cccc(F)c1CSC=2C(=O)NC(=O)NN2,6TBE_P,287.7,18,2.2,70.6,3,3,-7.617,-7.554,-10.306,-0.42,7.86E+01,3,2,-3.13E+00,ExpressPick,2.88E+02
chembridge-fragment-library-part1-exp-2024-06,23696,1,O=C1C=C(Nc2nc(SCc3ccccc3)nn12)C,6TBE_P,272.3,19,2.5,59.8,3,3,-7.611,-6.126,-6.904,-0.322,6.31E+01,3,1,-2.14E+00,ExpressPick,2.72E+02
chembridge-fragment-library-part1-exp-2024-06,17098,1,Brc1ccccc1C(=O)NC(=S)Nc2cc(cc(c2O)C)C,6TBE_P,379.3,22,4,61.4,1.5,5,-7.601,-8.622,-8.558,-0.392,6.14E+01,2,3,-3.93E+00,ExpressPick,3.79E+02
chembridge-fragment-library-part1-exp-2024-06,17982,1,O=C1C[C@@H](Cc2ccccc2)C(=O)N1c3ccc(O)cc3,6TBE_P,281.3,21,2.5,57.6,2.8,4,-7.597,-5.544,-6.626,-0.264,5.76E+01,3,1,-2.43E+00,ExpressPick,2.81E+02
chembridge-fragment-library-part1-exp-2024-06,21242,1,Fc1ccc(C(=O)Nc2ccc3c(c2)C=CC(O3)=O)cc1,6TBE_P,283.3,21,3.2,55.4,0.5,2,-7.59,-5.377,-7.295,-0.256,5.93E+01,3,1,-2.98E+00,ExpressPick,2.83E+02
chembridge-fragment-library-part1-exp-2024-06,18022,1,O=C1C[C@H](Cc2ccccc2)C(=O)N1c3cccc(O)c3,6TBE_P,281.3,21,2.5,57.6,2.8,4,-7.585,-5.441,-6.777,-0.259,5.76E+01,3,1,-2.43E+00,ExpressPick,2.81E+02
chembridge-fragment-library-part1-exp-2024-06,21910,1,O=C1C=2CCCC2Nc3nc(NCc4cccs4)nn13,6TBE_P,287.3,20,2.5,71.8,2.3,3,-7.577,-6.109,-6.875,-0.305,7.51E+01,3,2,-1.65E+00,ExpressPick,2.87E+02
chembridge-fragment-library-part1-exp-2024-06,12688,1,Fc1ccc(NC(=O)c2ccc3c(nccn3)c2)cc1,6TBE_P,267.3,20,3.3,54.9,0.5,2,-7.574,-5.71,-6.829,-0.285,5.49E+01,3,1,-3.38E+00,ExpressPick,2.67E+02
chembridge-fragment-library-part1-exp-2024-06,28262,1,Fc1ccc2c(c3c(C(=O)NN3)cn2)c1,6TBE_P,203.2,15,1.7,54,0,0,-7.574,-5.215,-8.65,-0.348,6.15E+01,2,2,-2.07E+00,ExpressPick,2.03E+02
chembridge-fragment-library-part1-exp-2024-06,8700,1,Oc1ccc(CN2CCN(CC2)c3ccccn3)cc1,6TBE_P,269.3,20,2.1,39.6,3.7,4,-7.573,-6.655,-7.224,-0.333,3.96E+01,3,1,-1.37E+00,ExpressPick,2.69E+02
chembridge-fragment-library-part2-cl-2024-06,2462,1,Oc1ccc(-c2c(cc3cccnc3n2)C)cc1,6TBE_P,236.3,18,3.3,46,0.7,2,-7.558,-5.366,-6.425,-0.298,4.60E+01,3,1,-2.41E+00,1100,CORE
chembridge-fragment-library-part2-cl-2024-06,3172,1,O=C1NC(=NN1C)c2cccc3c2Oc4ccccc4S3,6TBE_P,297.3,21,3.3,53.9,0,1,-7.556,-6.514,-7.252,-0.31,5.99E+01,3,1,-3.17E+00,1109,CORE
chembridge-fragment-library-part1-exp-2024-06,17954,1,Brc1cc2c(OCO2)cc1/C=C\3C(=O)N(CC)C(=S)N3,6TBE_P,355.2,20,2.3,50.8,1.8,2,-7.548,-6.764,-7.53,-0.338,5.08E+01,3,1,-3.92E+00,ExpressPick,3.55E+02
chembridge-fragment-library-part1-exp-2024-06,13174,1,O=C1C=C(N=C2N1N=C(S2)Cc3ccccc3)C,6TBE_P,257.3,18,2.3,45,2,2,-7.547,-6.834,-7.393,-0.38,4.73E+01,3,0,-1.94E+00,ExpressPick,2.57E+02
chembridge-fragment-library-part1-exp-2024-06,19284,1,Brc1cccc(/C=C/2C(=O)N/C(S2)=N\O)c1,6TBE_P,299.1,16,2.5,61.7,1.3,2,-7.546,-6.749,-7.294,-0.422,6.17E+01,3,2,-2.49E+00,ExpressPick,2.99E+02
chembridge-fragment-library-part1-exp-2024-06,28056,1,Fc1ccc(NC(=O)CN2C(=O)c3ccccc3C=N2)cc1,6TBE_P,297.3,22,2.5,61.8,2.3,3,-7.546,-6.12,-7.53,-0.278,6.40E+01,3,1,-2.18E+00,ExpressPick,2.97E+02
chembridge-fragment-library-part1-exp-2024-06,17046,1,Brc1cncc(C(=O)NC(=S)Nc2ccccc2OC)c1,6TBE_P,366.2,21,3.1,63.3,1.5,5,-7.536,-6.849,-7.66,-0.326,6.32E+01,3,2,-4.17E+00,ExpressPick,3.66E+02
chembridge-fragment-library-part1-exp-2024-06,8554,1,Oc1ccc(CN2CCN(CC2)c3ccccc3)cc1,6TBE_P,268.4,20,2.7,26.7,3.7,4,-7.531,-5.892,-6.619,-0.295,2.67E+01,2,1,-1.82E+00,ExpressPick,2.68E+02
chembridge-fragment-library-part1-exp-2024-06,18754,1,O=C(Nc1nncs1)[C@H]2C[C@@H]2c3ccccc3,6TBE_P,245.3,17,2.3,54.9,1.3,3,-7.531,-7.137,-7.827,-0.42,5.49E+01,3,1,-2.22E+00,ExpressPick,2.45E+02
chembridge-fragment-library-part1-exp-2024-06,21320,1,Fc1ccccc1C(=O)Nc2ccc3c(c2)C=CC(O3)=O,6TBE_P,283.3,21,3.2,55.4,0.5,2,-7.53,-5.037,-6.97,-0.24,5.93E+01,3,1,-2.48E+00,ExpressPick,2.83E+02
chembridge-fragment-library-part2-cl-2024-06,6499,1,Fc1ccc(CN2CC[C@]34[C@H]2CC(=O)N3CCCO4)cc1,6TBE_P,290.3,21,2,32.8,3.5,2,-7.527,-6.413,-7.544,-0.305,3.28E+01,3,0,-1.78E+00,1206,CORE
chembridge-fragment-library-part1-exp-2024-06,18776,1,Clc1cc(F)c(NC(=O)c2ccc3c(OCO3)c2)cc1,6TBE_P,293.7,20,3.8,47.6,0.5,2,-7.526,-5.502,-7.068,-0.275,4.76E+01,3,1,-3.81E+00,ExpressPick,2.94E+02
chembridge-fragment-library-part1-exp-2024-06,9784,1,O=C1c2ccccc2N=C(N1c3ccc(O)cc3)C,6TBE_P,252.3,19,3.1,52.9,0.8,2,-7.525,-5.443,-6.235,-0.286,5.51E+01,3,1,-2.37E+00,ExpressPick,2.52E+02
chembridge-fragment-library-part1-exp-2024-06,10602,1,Oc1ccc2ccccc2c1CN3CCCN(CC3)C,6TBE_P,270.4,20,2.7,26.7,4.6,3,-7.525,-6.799,-7.125,-0.34,2.67E+01,3,1,-2.06E+00,ExpressPick,2.70E+02
chembridge-fragment-library-part1-exp-2024-06,17314,1,Brc1ccc(CC(=O)Nc2nc(cs2)C)cc1,6TBE_P,311.2,17,3.5,42,2.3,3,-7.513,-7.732,-8.302,-0.455,4.20E+01,2,1,-2.79E+00,ExpressPick,3.11E+02
chembridge-fragment-library-part1-exp-2024-06,28566,1,Nc1c(sc2c1cc3CN(CCc3n2)C)-c4ccncc4,6TBE_P,296.4,21,2.9,55,0.5,1,-7.513,-6.846,-7.552,-0.326,5.50E+01,3,1,-1.96E+00,ExpressPick,2.96E+02
chembridge-fragment-library-part1-exp-2024-06,8844,1,Brc1csc([C@H]2C(=C(Oc3cc(N)ccc32)N)C#N)c1,6TBE_P,348.2,20,3.4,85.1,0,1,-7.506,-7.966,-10.754,-0.398,8.51E+01,2,2,-3.12E+00,ExpressPick,3.48E+02
chembridge-fragment-library-part1-exp-2024-06,13472,1,Brc1ccc(O)c(C=C2C(=O)c3ccccc3C2=O)c1,6TBE_P,329.1,20,3.7,54.4,0.8,2,-7.495,-5.873,-7.105,-0.294,5.44E+01,3,1,-3.31E+00,ExpressPick,3.29E+02
chembridge-fragment-library-part1-exp-2024-06,14798,1,Fc1cccc(/C=C\2C(=O)N=C(S2)Nc3cnccc3)c1,6TBE_P,299.3,21,3.6,54.3,0.8,3,-7.485,-7.9,-8.86,-0.376,5.44E+01,3,1,-3.66E+00,ExpressPick,2.99E+02
chembridge-fragment-library-part1-exp-2024-06,12822,1,Fc1ccccc1NC(=O)c2ccc3c(nccn3)c2,6TBE_P,267.3,20,3.3,54.9,0.5,2,-7.484,-5.553,-6.676,-0.278,5.49E+01,3,1,-2.87E+00,ExpressPick,2.67E+02
chembridge-fragment-library-part1-exp-2024-06,18038,1,O=C1[C@H]2[C@H]([C@@H]3C=C[C@H]2[C@@H]4C[C@H]34)C(=O)N1c5cccc(O)c5,6TBE_P,281.3,21,1.8,57.6,2.3,2,-7.48,-6.045,-6.881,-0.288,5.76E+01,3,1,-1.52E+00,ExpressPick,2.81E+02
chembridge-fragment-library-part1-exp-2024-06,8404,1,Oc1ccc(CN2CCN(CC2)c3ccccc3)cc1OC,6TBE_P,298.4,22,2.7,35.9,4.2,5,-7.476,-6.226,-6.88,-0.283,3.59E+01,3,1,-2.50E+00,ExpressPick,2.98E+02
chembridge-fragment-library-part1-exp-2024-06,21216,1,Fc1cccc(C(=O)Nc2ccc3c(c2)C=CC(O3)=O)c1,6TBE_P,283.3,21,3.2,55.4,0.5,2,-7.476,-5.799,-7.336,-0.276,5.93E+01,3,1,-3.01E+00,ExpressPick,2.83E+02
chembridge-fragment-library-part1-exp-2024-06,21510,1,Clc1cccc(F)c1CC(=O)Nc2cc(on2)C,6TBE_P,268.7,18,2.7,55.1,2.3,3,-7.471,-6.525,-7.514,-0.363,5.51E+01,3,1,-3.39E+00,ExpressPick,2.69E+02
chembridge-fragment-library-part1-exp-2024-06,23086,1,OC(=O)c1ccc2c([C@H]3C=CC[C@H]3[C@@H](N2)c4ccccn4)c1,6TBE_P,292.3,22,3.5,62.2,1,3,-7.462,-5.537,-6.786,-0.252,6.22E+01,3,2,-2.26E+00,ExpressPick,2.92E+02
chembridge-fragment-library-part1-exp-2024-06,7180,1,Brc1ccc2c(sc3c2C(=O)N4CCCC4=N3)c1O,6TBE_P,337.2,19,3.7,52.9,0.8,1,-7.461,-6.079,-6.722,-0.32,5.51E+01,3,1,-3.21E+00,ExpressPick,3.37E+02
chembridge-fragment-library-part2-cl-2024-06,7987,1,Oc1ccc(-c2c3cccnc3ccn2)cc1C,6TBE_P,236.3,18,3.3,46,0.7,2,-7.459,-5.529,-5.934,-0.307,4.60E+01,3,1,-2.21E+00,1109,CORE
chembridge-fragment-library-part1-exp-2024-06,14444,1,Fc1ccccc1NC(=O)[C@@H]2COc3ccccc3O2,6TBE_P,273.3,20,2.9,47.6,1.7,2,-7.457,-6.513,-7.303,-0.326,4.76E+01,3,1,-3.23E+00,ExpressPick,2.73E+02
chembridge-fragment-library-part1-exp-2024-06,6610,1,Oc1cccnc1-c2ccc(O)cc2,6TBE_P,187.2,14,2.2,53.3,1.2,3,-7.456,-5.626,-6.36,-0.402,5.34E+01,3,2,-1.93E+00,ExpressPick,1.87E+02
chembridge-fragment-library-part1-exp-2024-06,18374,1,Fc1ccccc1/C=C/2C(=O)N(c3ccccc3)C(=O)N2,6TBE_P,282.3,21,3.2,49.4,0.6,2,-7.455,-5.052,-6.323,-0.241,4.94E+01,2,1,-3.33E+00,ExpressPick,2.82E+02
chembridge-fragment-library-part1-exp-2024-06,9720,1,O=C1C(Cc2ccc(O)cc2)=CNC(=O)N1,6TBE_P,218.2,16,0.6,78.4,2.5,3,-7.454,-5.813,-6.868,-0.363,8.60E+01,3,3,-1.76E+00,ExpressPick,2.18E+02
chembridge-fragment-library-part1-exp-2024-06,20400,1,Brc1cccc2c1nc(cc2Nc3cccc(O)c3)C,6TBE_P,329.2,20,4.8,45.1,1,3,-7.454,-6.545,-7.237,-0.327,4.52E+01,2,2,-2.46E+00,ExpressPick,3.29E+02
